Vendor ID,Vendor Name,Country,Territorial Scope,Environment,Type of Service,International Transfer,Cookie Max Age (days),Data Retention (days)
1164,congstar GmbH,Germany,DE,Web,Other,No,7,
143,Connatix Native Exchange Inc.,United Kingdom,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB, OTHER","Web, Native App (Mobile), Native App (CTV)","SSP, Ad Serving, Header Bidding Service, DMP / Data Provider, Identity Resolution Service, Content Delivery Network, Campaign Analytics, Audience Analytics, Other",SCCs,30,30
138,ConnectAd Demand GmbH,Austria,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile)","SSP, Header Bidding Service","Adequacy Decision, SCCs",30,30
591,"Consumable, Inc",Germany,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile), Native App (CTV)","DSP, Ad Serving, Header Bidding Service, DMP / Data Provider",Adequacy Decision,15,90
630,Contact Impact GmbH/Axel Springer Teaser Ad GmbH,Germany,DE,Web,"Ad Serving, Header Bidding Service",No,365,365
656,Content Ignite,United Kingdom,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB",Web,"Ad Serving, Header Bidding Service, Content Delivery Network",No,396,0**
1371,Content Performance Group GmbH,Austria,AT,Other,Other,No,395,60
1299,Contimo APS,Denmark,"DK, SE",Web,"Ad Serving, Content Delivery Network",No,730,365
1510,Continental Expeditions Inc d/b/a CloudX,United States,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB",Native App (Mobile),SSP,No,0*,
248,Converge-Digital,Ireland,"IE, NL, CH, GB","Web, Native App (Mobile), Native App (CTV), Other","SSP, DSP, Ad Serving, Header Bidding Service",No,180,30
1356,Copper6 LTD,Israel,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB, OTHER","Web, Native App (Mobile), Native App (CTV)","SSP, DSP, Ad Serving, Header Bidding Service","Adequacy Decision, SCCs",14,14
1538,Coresibo LTD (DBA Tredio),Israel,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile), Native App (CTV)","SSP, DSP",No,,0**
1104,Covatic Ltd,United Kingdom,"DK, DE, IE, NO, SE, GB","Web, Native App (Mobile), Native App (CTV), Other","DMP / Data Provider, Audience Analytics",No,,0**
1384,CPG Digital GmbH,Germany,"AT, DE, CH",Web,"Ad Serving, Header Bidding Service",No,,0**
1372,CRACKLE TECHNOLOGIES PTE. LTD.,Singapore,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB, OTHER","Web, Native App (Mobile), Native App (CTV), Other","SSP, Ad Serving, Header Bidding Service",Supplementary measures,,365
1427,Creatives,Norway,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile)","Ad Serving, Campaign Analytics",No,,0**
1311,Creatopy INC,Romania,RO,Web,Ad Serving,Adequacy Decision,,
85,Crimtan Holdings Limited,United Kingdom,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile), Native App (CTV)","DSP, Recommendation Service, Buyer, Campaign Analytics, Audience Analytics","Adequacy Decision, SCCs",365,365
91,Criteo SA,France,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile), Native App (CTV)","SSP, DSP, Ad Serving, Header Bidding Service",No,390,390
1026,crossvertise GmbH,Germany,"AT, DE, CH","Web, Native App (Mobile), Native App (CTV)","Buyer, Other",No,,0**
298,"Cuebiq Group, LLC",United States,"FR, DE, IT, ES, GB","Web, Native App (Mobile)","Campaign Analytics, Audience Analytics, Other",No,,730
570,Czech Publisher Exchange z.s.p.o.,Czech Republic,CZ,Web,"Header Bidding Service, Identity Resolution Service, Audience Analytics, Other",No,14,365
573,Dailymotion Video Player and Ad Products,France,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB, OTHER","Web, Native App (Mobile), Native App (CTV), Other","SSP, Ad Serving, Header Bidding Service, Content Delivery Network, Campaign Analytics, Audience Analytics, Other","Adequacy Decision, SCCs",396,92
946,Daisycon B.V.,Netherlands,"AT, BE, CZ, DK, FI, FR, DE, IE, IT, LU, NL, NO, PL, PT, ES, SE, CH, GB","Web, Native App (Mobile)","Ad Serving, Campaign Analytics, Other",No,365,1095
1225,Dando online LTD,Israel,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB, OTHER","Web, Native App (Mobile), Other","SSP, DSP, Ad Serving, Header Bidding Service",No,,0**
1432,Danoler Group SP. Z O.O.,Poland,"AT, BE, BG, CY, CZ, DK, EE, FR, DE, GR, IE, IT, LV, LT, NL, NO, PL, PT, ES, SE, GB","Web, Native App (Mobile), Native App (CTV)","SSP, DSP, Header Bidding Service, Buyer",No,,90
1411,Data Circle,France,"BE, DK, FR, DE, IT, NL, NO, ES, SE, CH, GB",Web,"Website Analytics, Campaign Analytics",No,365,390
1284,DataDome SA,France,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB, OTHER","Web, Native App (Mobile)","Verification Tool, Other","SCCs, Supplementary measures",365,30
1512,DATAMOIRE BILISIM A.S.,Turkey,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile)","Website Analytics, Campaign Analytics, Audience Analytics",No,90,90
713,Dataseat Ltd,United Kingdom,"FR, DE, IE, ES, GB",Native App (Mobile),DSP,No,0*,365
1244,DataWave LTD,Israel,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB, OTHER","Web, Native App (Mobile), Native App (CTV)","DSP, Ad Serving, Header Bidding Service",No,,90
938,dataXtrade GmbH,Germany,"AT, DE, CH","Web, Native App (Mobile), Native App (CTV), Other","SSP, DSP, Verification Tool, Ad Serving, Header Bidding Service, DMP / Data Provider, Campaign Analytics",No,365,30
1539,Datonics LLC,Ireland,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB, OTHER","Web, Native App (Mobile), Native App (CTV)","DMP / Data Provider, Audience Analytics",Adequacy Decision,180,90
1229,Decentralised Advertising Limited,United Kingdom,GB,"Web, Native App (Mobile), Native App (CTV)","SSP, DSP, Ad Serving, Header Bidding Service, Content Delivery Network, Campaign Analytics",No,60,365
1449,Decentriq AG,Germany,CH,"Web, Native App (Mobile), Native App (CTV)","Header Bidding Service, DMP / Data Provider, Identity Resolution Service, Campaign Analytics, Audience Analytics, Other","Adequacy Decision, SCCs",31,180
541,"DeepIntent, Inc.",Germany,"DE, OTHER",Web,"DSP, Ad Serving, Header Bidding Service, Identity Resolution Service, Campaign Analytics",No,548,180
440,DEFINE MEDIA GMBH,Germany,"AT, DE, CH","Web, Native App (Mobile)","Ad Serving, Campaign Analytics",No,,0**
209,Delta Projects AB,Sweden,"DK, FI, FR, DE, NL, NO, SE, GB","Web, Native App (Mobile), Native App (CTV)","DSP, Ad Serving",No,365,547
397,"Demandbase, Inc.",Ireland,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile), Native App (CTV)","DSP, Ad Serving, DMP / Data Provider, Website Analytics, Campaign Analytics, Audience Analytics","Adequacy Decision, SCCs, BCRs, Supplementary measures",396,390
1029,Dentsu A/S,Denmark,DK,"Web, Native App (Mobile)","SSP, DSP, DMP / Data Provider",No,822,365
707,Dentsu Italia SpA,Italy,IT,"Web, Native App (Mobile)",DMP / Data Provider,No,60,365
922,Dentsu Product & Services GmbH,Spain,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB, OTHER","Web, Native App (Mobile), Native App (CTV), Other","Ad Serving, DMP / Data Provider, Website Analytics, Buyer, Campaign Analytics, Audience Analytics",No,356,365
885,Dianomi PLC,Germany,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile), Native App (CTV)","SSP, DSP, Ad Serving, Header Bidding Service, DMP / Data Provider, Identity Resolution Service, Recommendation Service, Website Analytics, Buyer, Campaign Analytics, Audience Analytics",SCCs,1826,180
665,Digital East GmbH,Germany,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile)","DSP, Ad Serving, Campaign Analytics",No,365,365
1345,"Digital Matter, UAB",Lithuania,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB",Web,Header Bidding Service,No,365,365
936,DIGITAL SQUAD,France,"BE, DK, FR, IT, ES",Web,"Ad Serving, DMP / Data Provider",No,395,360
133,digitalAudience B.V.,Netherlands,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB, OTHER",Web,"Verification Tool, Identity Resolution Service, Website Analytics, Audience Analytics",No,365,365
343,DIGITEKA Technologies,France,FR,"Web, Other","Ad Serving, Header Bidding Service, Recommendation Service, Website Analytics",No,397,730
778,Discover-Tech ltd,Israel,"AT, BE, HR, CY, FR, DE, GR, IT, NL, ES, GB","Web, Native App (Mobile)",DSP,No,,93
833,Disqus,United States,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB",Web,"SSP, Other",No,365,365
754,"DistroScale, Inc.",United States,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile), Native App (CTV)","Ad Serving, Header Bidding Service",No,730,365
1063,Doceree UK Limited,United Kingdom,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile), Other","SSP, DSP, Ad Serving, Header Bidding Service, DMP / Data Provider, Identity Resolution Service, Website Analytics, Audience Analytics",SCCs,365,4320
1462,DongFairy Technology Limited,Hongkong Sar China,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile), Native App (CTV)","SSP, DSP",No,,90
126,DoubleVerify Inc.,Germany,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile), Native App (CTV), Other","Verification Tool, Campaign Analytics, Other","Adequacy Decision, SCCs",,45
1075,dpa-infocom GmbH,Germany,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile)",Other,No,,0**
1442,Drako Media Group Inc.,Canada,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB",Native App (Mobile),"DMP / Data Provider, Identity Resolution Service, Audience Analytics",No,,365
262,DT Exchange (Digital Turbine (IL) Ltd.),Israel,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB",Native App (Mobile),"SSP, Header Bidding Service","Adequacy Decision, SCCs, Supplementary measures",,12
674,"Duration Media, LLC.",Portugal,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB",Web,"SSP, Verification Tool, Ad Serving, Header Bidding Service, Campaign Analytics",No,,365
584,Dynamic 1001 GmbH,Germany,"AT, CY, FR, DE, ES, CH",Web,Website Analytics,No,730,700
110,Dynata LLC,United Kingdom,"BE, DK, FI, FR, DE, GR, IE, IT, NL, NO, ES, SE, GB","Web, Native App (Mobile), Native App (CTV)",Other,SCCs,365,730
796,EASY Marketing GmbH,Germany,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile), Native App (CTV), Other","Ad Serving, DMP / Data Provider, Content Delivery Network, Website Analytics, Campaign Analytics, Other",No,365,365
1377,"EASY TECH GROUP CO., LIMITED","Hong Kong,china","AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB, OTHER","Web, Native App (Mobile), Native App (CTV)","SSP, DSP",No,0*,30
168,EASYmedia GmbH,Germany,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile), Native App (CTV), Other","DSP, Verification Tool, Ad Serving, DMP / Data Provider, Content Delivery Network, Recommendation Service, Buyer, Campaign Analytics, Audience Analytics",No,365,365
825,EDGE NPD Sp. z o.o.,Poland,PL,"Web, Native App (Mobile)","Verification Tool, Website Analytics, Campaign Analytics",No,730000,365
1202,Edge226 Ltd,Israel,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB, OTHER","Web, Native App (Mobile), Native App (CTV)",DSP,SCCs,,30
402,Effiliation / Effinity,France,"AT, BE, FR, DE, IT, LU, NL, PT, ES, CH, GB",Web,"Campaign Analytics, Other",No,30,
1243,eLabz SRL,Belgium,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IE, IT, LV, LI, LT, LU, MT, NL, PL, PT, RO, SK, SI, ES, SE",Web,SSP,"SCCs, Supplementary measures",,1095
1307,EliteAppgrade,United States,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB, OTHER","Web, Native App (Mobile), Native App (CTV), Other","SSP, DSP, Ad Serving, Header Bidding Service","Adequacy Decision, SCCs, BCRs",30,14
854,"eMarketingSolutions, Online Marketing S.L.",Spain,"HR, DK, FI, FR, DE, GR, IT, NO, PL, SI, ES, GB",Web,"Ad Serving, Campaign Analytics",No,30,90
213,emetriq GmbH,Germany,"AT, DE, CH","Web, Native App (Mobile), Native App (CTV)","DMP / Data Provider, Audience Analytics","SCCs, Supplementary measures",365,180
141,Emodo LLC,United States,"IE, GB","Native App (Mobile), Native App (CTV)","SSP, DSP","SCCs, BCRs",30,60
1488,Empathy Technology Pte.Ltd. (BIGO Ads),Singapore,"DK, FI, FR, DE, IE, IT, NL, ES, GB","Web, Native App (Mobile), Native App (CTV)","SSP, DSP",No,,4320
1248,Empower AdTech,Germany,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB, OTHER","Web, Native App (Mobile)","SSP, Ad Serving, Header Bidding Service, DMP / Data Provider, Website Analytics, Campaign Analytics",Adequacy Decision,365,365
1261,Encore Digital Media,United Kingdom,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB, OTHER","Web, Native App (Mobile), Native App (CTV), Other",Buyer,"Adequacy Decision, SCCs",365,99
853,Ensighten,United States,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB, OTHER","Web, Native App (Mobile), Native App (CTV), Other","Website Analytics, Campaign Analytics","SCCs, Supplementary measures",1825,1095
849,Epom,Cyprus,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB",Web,Ad Serving,No,730,3
24,Epsilon,United Kingdom,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile), Native App (CTV)",DSP,"SCCs, Supplementary measures",400,540
95,Epsilon (Lotame),United Kingdom,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile), Native App (CTV)","Verification Tool, DMP / Data Provider, Identity Resolution Service, Campaign Analytics, Audience Analytics","Adequacy Decision, SCCs",274,540
45,Equativ,France,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile), Native App (CTV)","SSP, Ad Serving, Header Bidding Service","Adequacy Decision, SCCs",365,50
244,ERMES,France,FR,Web,"Ad Serving, Website Analytics, Buyer, Campaign Analytics, Audience Analytics",No,390,395
1295,ESB Connect Limited,United Kingdom,"FR, GB",Web,"Verification Tool, DMP / Data Provider, Identity Resolution Service, Recommendation Service, Website Analytics, Buyer, Campaign Analytics, Audience Analytics",No,,720
814,Eskimi,Lithuania,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile), Native App (CTV)","SSP, DSP, Ad Serving, DMP / Data Provider, Campaign Analytics, Audience Analytics",No,30,30
1213,esome advertising technologies gmbh,Germany,"AT, DE, CH","Web, Native App (Mobile), Native App (CTV), Other","Buyer, Campaign Analytics","Adequacy Decision, SCCs, BCRs, Supplementary measures",,30
29,ETARGET SE,Slovakia,"AT, HR, CZ, HU, SK",Web,"SSP, DSP, Ad Serving, Header Bidding Service, DMP / Data Provider",No,365,30
413,Eulerian Technologies,France,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile), Native App (CTV), Other","DMP / Data Provider, Identity Resolution Service, Website Analytics, Campaign Analytics, Audience Analytics",No,390,180
773,Euvic 360e-com Sp. z o.o.,Poland,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile)","SSP, DSP, Ad Serving, Header Bidding Service, DMP / Data Provider, Recommendation Service, Buyer, Campaign Analytics",No,30,30
957,Evolution Technologies Inc.,Italy,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB, OTHER","Web, Native App (Mobile), Native App (CTV)","SSP, DSP, Header Bidding Service",No,14,60
1062,Evorra Ltd,France,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB",Web,DMP / Data Provider,"Adequacy Decision, SCCs, Supplementary measures",365,365
444,EX.CO Technologies Ltd,Israel,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile), Other","Ad Serving, Content Delivery Network, Other",SCCs,30,30
312,Exactag GmbH,Germany,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile), Native App (CTV), Other","Website Analytics, Campaign Analytics",No,180,210
1084,EXADS,Ireland,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB, OTHER","Web, Native App (Mobile), Native App (CTV), Other","SSP, DSP, Ad Serving, Header Bidding Service, Campaign Analytics",No,730,365
1027,Exit Bee Limited,United Kingdom,"BG, CY, FR, DE, GR, GB",Web,"Ad Serving, Campaign Analytics",No,365,365
997,"EXOCLICK, S.L.",Spain,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB, OTHER",Web,"SSP, DSP, Ad Serving, Campaign Analytics",No,730,365
877,Experian LTD,United Kingdom,GB,Web,"DMP / Data Provider, Identity Resolution Service",No,183,180
1477,Experience TEN Kft,Hungary,HU,"Web, Native App (Mobile), Native App (CTV)",DSP,No,,1095
1,"Exponential Interactive, Inc d/b/a VDX.tv",Spain,"FR, DE, NL, ES, GB","Web, Native App (CTV)","SSP, DSP, Ad Serving",SCCs,90,397
1002,"Extreme Reach, Inc",France,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IE, IT, LV, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile), Native App (CTV)","Ad Serving, Campaign Analytics",SCCs,180,730
1546,EYECONICSPOT LLC,United States,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile), Native App (CTV), Other",DSP,"SCCs, Supplementary measures",,30
120,Eyeota Pte Ltd,Singapore,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Other",DMP / Data Provider,SCCs,366,120
347,Ezoic Inc.,United Kingdom,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB",Web,"Content Delivery Network, Website Analytics, Audience Analytics",SCCs,2555,4320
795,Factor Eleven GmbH,Germany,"AT, FR, DE, IT, PL, CH, GB","Web, Native App (Mobile)",Ad Serving,No,30,30
1529,Factori Technologies Pte Ltd.,Singapore,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB",Native App (Mobile),"DMP / Data Provider, Website Analytics, Campaign Analytics, Audience Analytics","Adequacy Decision, SCCs, Supplementary measures",,365
1475,Fast Thinking,United Kingdom,GB,"Web, Native App (Mobile)","Ad Serving, Buyer",No,395,
781,FeedAd GmbH,Germany,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB, OTHER","Web, Native App (Mobile), Native App (CTV)",SSP,No,30,30
1207,Feeltapmedia Limited,China,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile), Native App (CTV)",DSP,No,,
100,Fifty Technology Limited,United Kingdom,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB, OTHER","Web, Native App (Mobile), Native App (CTV), Other","Ad Serving, DMP / Data Provider, Identity Resolution Service, Buyer, Campaign Analytics, Audience Analytics","Adequacy Decision, SCCs",365,183
1240,FireArc Technologies Ltd,Israel,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB",Web,"Ad Serving, Header Bidding Service, Content Delivery Network",SCCs,7994,365
