Vendor ID,Vendor Name,Country,Territorial Scope,Environment,Type of Service,International Transfer,Cookie Max Age (days),Data Retention (days)
1205,Adasta Media S.r.l.,Italy,IT,Web,"Header Bidding Service, DMP / Data Provider",No,396,393
738,adbility media GmbH,Germany,DE,"Web, Native App (Mobile)","Ad Serving, Buyer",No,365,0**
1316,ADBRO (GISTER PRIVATE LIMITED),The Netherlands,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB",Web,"SSP, DSP, Ad Serving, Content Delivery Network, Campaign Analytics, Audience Analytics","SCCs, Supplementary measures",365,365
377,AddApptr GmbH,Germany,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB, OTHER",Native App (Mobile),"SSP, Ad Serving, Header Bidding Service",No,,4320
539,AdDefend GmbH,Germany,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB, OTHER","Web, Native App (Mobile), Other","Verification Tool, Ad Serving, Header Bidding Service, Identity Resolution Service, Campaign Analytics",No,30,30
1019,Adelaide Metrics Inc,United States,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile), Native App (CTV), Other",Campaign Analytics,No,,0**
196,AdElement Media Solutions Pvt Ltd,India,GB,"Web, Native App (Mobile)","SSP, DSP, Ad Serving, Header Bidding Service",No,365,180
1203,"Aderize, Inc.",Estonia,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB, OTHER","Web, Native App (Mobile), Native App (CTV), Other","Ad Serving, Content Delivery Network, Campaign Analytics, Other","Adequacy Decision, SCCs, BCRs",,365
44,Adex (Virtual Minds GmbH),Germany,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile), Native App (CTV), Other","DMP / Data Provider, Identity Resolution Service","Adequacy Decision, SCCs, Supplementary measures",90,90
1434,ADFIXUS PTY LTD,Australia,GB,"Web, Native App (Mobile)","Verification Tool, Identity Resolution Service, Campaign Analytics",No,365,
1322,Adforce Digital Intelligence LTDA,Brazil,EE,Web,"Verification Tool, Ad Serving, Website Analytics, Campaign Analytics, Audience Analytics",Adequacy Decision,0*,365
50,Adform A/S,Denmark,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile), Native App (CTV)","SSP, DSP, Ad Serving, DMP / Data Provider","Adequacy Decision, SCCs, Supplementary measures",3650,60
553,Adhese,Belgium,"BE, FR, GR, NL","Web, Native App (Mobile), Native App (CTV), Other","Ad Serving, Header Bidding Service",No,30,30
15,Adikteev,France,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Native App (Mobile), Native App (CTV)","DSP, Ad Serving",SCCs,,730
1149,AdInMo LTD,United Kingdom,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB",Native App (Mobile),"SSP, Ad Serving",No,,365
39,ADITION (Virtual Minds GmbH),Germany,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile), Native App (CTV), Other",Ad Serving,"Adequacy Decision, SCCs, Supplementary measures",90,90
1317,"Aditude, Inc.",United States,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile)","SSP, DSP, Ad Serving, Header Bidding Service, Content Delivery Network, Recommendation Service, Website Analytics, Campaign Analytics, Audience Analytics",SCCs,390,390
1373,adjoe GmbH,Germany,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB, OTHER",Native App (Mobile),"SSP, DSP, Ad Serving, Header Bidding Service","Adequacy Decision, SCCs, BCRs",,365
597,Adjust Digital A/S,Denmark,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB, OTHER","Web, Native App (Mobile)","Ad Serving, Buyer",No,,
14,Adkernel LLC,United States,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile), Native App (CTV)","SSP, DSP, Ad Serving, Header Bidding Service, DMP / Data Provider, Website Analytics, Campaign Analytics, Audience Analytics",No,180,180
93,Adloox SA,France,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB, OTHER","Web, Native App (Mobile), Native App (CTV), Other",Verification Tool,No,,396
1273,Admagnetix,United States,"FR, DE, ES, GB",Web,Header Bidding Service,SCCs,365,7
47,"ADMAN - Phaistos Networks, S.A.",Greece,"CY, GR","Web, Native App (Mobile)","Ad Serving, Header Bidding Service, Audience Analytics",No,3650,3650
149,ADman Interactive SLU,Spain,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile), Native App (CTV)","SSP, DSP, Header Bidding Service",No,365,0**
1386,Admaster Private Limited,Singapore,"AT, FR, DE, IT, PL, ES, CH, GB","Web, Native App (Mobile)",DSP,No,365,365
1289,ADMASTERS SOLUÇÕES DE MARKETING DIGITAL LTDA,Brazil,"AT, BE, BG, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IE, IT, LV, LT, MT, NL, NO, PL, PT, SK, SI, ES, SE, CH, GB",Web,"Ad Serving, Buyer",No,0*,30
1281,Admatic GMBH,Germany,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB, OTHER","Web, Native App (Mobile), Native App (CTV)","SSP, DSP, Ad Serving, Header Bidding Service",SCCs,90,60
1094,ADMAX,France,FR,Native App (Mobile),Header Bidding Service,No,,0**
511,Admixer EU GmbH,Germany,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile), Native App (CTV)","SSP, DSP, Ad Serving, Header Bidding Service, DMP / Data Provider, Content Delivery Network",No,90,90
612,Adnami Aps,Denmark,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile)",Ad Serving,SCCs,,0**
1476,Adnitix,Israel,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB, OTHER","Web, Native App (Mobile), Native App (CTV)",SSP,No,0*,
1210,ADNOW I RENODO MEDIA LTD,Bulgaria,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB, OTHER","Web, Native App (Mobile)","SSP, DSP, Ad Serving, Recommendation Service, Campaign Analytics",No,14,30
855,Adnuntius AS,Norway,"AT, BE, DK, FI, FR, DE, GR, IS, LT, LU, NL, NO, PL, ES, SE, GB","Web, Native App (Mobile)","SSP, DSP, Ad Serving, Header Bidding Service, DMP / Data Provider, Content Delivery Network, Campaign Analytics",SCCs,2486,30
264,Adobe Advertising Cloud,United Kingdom,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile), Native App (CTV)",DSP,SCCs,730,760
565,"Adobe Audience Manager, Adobe Experience Platform",Ireland,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile), Native App (CTV)","DMP / Data Provider, Other",SCCs,180,
